Wavelength_(nm), CT_Absorbance_(a.u.)
340.712,0
341.091,0
341.47,0
341.849,0
342.229,-0.03
342.608,0.98
342.987,0
343.366,0.2
343.745,0.06
344.124,0
344.503,-0.56
344.881,-0.25
345.26,0
345.639,-0.19
346.018,0.42
346.396,-0.1
346.775,0
347.154,-0.35
347.532,0.33
347.911,-0.43
348.289,0
348.668,-0.75
349.046,0
349.425,-0.09
349.803,0.39
350.181,0.23
350.56,0.36
350.938,0.35
351.316,0.29
351.694,0.31
352.072,0.37
352.45,0.31
352.828,0.48
353.206,0.35
353.584,0.48
353.962,0.38
354.34,0.44
354.718,0.37
355.095,0.43
355.473,0.38
355.851,0.5
356.229,0.41
356.606,0.38
356.984,0.38
357.361,0.59
357.739,0.44
358.116,0.27
358.494,0.4
358.871,0.41
359.248,0.41
359.626,0.44
360.003,0.4
360.38,0.54
360.757,0.41
361.134,0.43
361.511,0.56
361.888,0.43
362.265,0.55
362.642,0.35
363.019,0.66
363.396,0.43
363.773,0.52
364.15,0.5
364.527,0.52
364.903,0.48
365.28,0.41
365.657,0.53
366.033,0.38
366.41,0.49
366.786,0.71
367.163,0.43
367.539,0.4
367.915,0.38
368.292,0.54
368.668,0.51
369.044,0.36
369.421,0.41
369.797,0.36
370.173,0.31
370.549,0
370.925,0.45
371.301,0.43
371.677,0.52
372.053,0.46
372.429,0.37
372.805,0.48
373.181,0.44
373.556,0.51
373.932,0.44
374.308,0.6
374.683,0.55
375.059,0.4
375.435,0.48
375.81,0.43
376.186,0.6
376.561,0.53
376.936,0.67
377.312,0.83
377.687,0.65
378.062,0.84
378.438,0.84
378.813,0.85
379.188,0.82
379.563,0.79
379.938,0.97
380.313,0.96
380.688,1.07
381.063,1
381.438,1.07
381.813,1.28
382.188,1.1
382.563,1.25
382.937,1.41
383.312,1.32
383.687,1.4
384.061,1.37
384.436,1.46
384.81,1.44
385.185,1.67
385.559,1.54
385.934,1.49
386.308,1.66
386.682,1.73
387.057,1.63
387.431,1.68
387.805,1.71
388.179,1.78
388.553,1.89
388.927,1.77
389.301,2
389.675,1.77
390.049,2.19
390.423,1.95
390.797,1.96
391.171,1.96
391.545,2.14
391.919,2.16
392.292,2.16
392.666,2.18
393.04,2.29
393.413,2.22
393.787,2.06
394.16,2.24
394.534,2.27
394.907,2.3
395.28,2.46
395.654,2.38
396.027,2.38
396.4,2.45
396.773,2.42
397.147,2.35
397.52,2.47
397.893,2.54
398.266,2.74
398.639,2.47
399.012,2.51
399.385,2.4
399.757,2.63
400.13,2.48
400.503,2.5
400.876,2.38
401.248,2.35
401.621,2.57
401.994,2.49
402.366,2.39
402.739,2.51
403.111,2.57
403.484,2.53
403.856,2.64
404.229,2.48
404.601,2.55
404.973,2.43
405.345,2.7
405.718,2.55
406.09,2.5
406.462,2.72
406.834,2.68
407.206,2.59
407.578,2.62
407.95,2.55
408.322,2.51
408.693,2.48
409.065,2.49
409.437,2.62
409.809,2.54
410.18,2.51
410.552,2.42
410.924,2.51
411.295,2.55
411.667,2.51
412.038,2.55
412.41,2.64
412.781,2.6
413.152,2.62
413.524,2.77
413.895,2.64
414.266,2.69
414.637,2.65
415.008,2.86
415.38,2.7
415.751,2.7
416.122,2.85
416.493,2.59
416.863,2.66
417.234,2.69
417.605,3.02
417.976,2.67
418.347,2.65
418.717,2.72
419.088,2.56
419.459,2.92
419.829,2.86
420.2,2.9
420.57,2.72
420.941,2.86
421.311,2.88
421.682,2.78
422.052,2.67
422.422,2.76
422.792,2.69
423.163,2.61
423.533,2.81
423.903,2.72
424.273,2.77
424.643,2.56
425.013,2.68
425.383,2.58
425.753,2.58
426.123,2.69
426.492,2.45
426.862,2.6
427.232,2.95
427.602,2.54
427.971,2.81
428.341,2.69
428.71,2.49
429.08,2.64
429.449,2.57
429.819,2.5
430.188,2.44
430.557,2.42
430.927,2.34
431.296,2.43
431.665,2.61
432.034,2.49
432.403,2.32
432.772,2.32
433.142,2.33
433.51,2.34
433.879,2.25
434.248,2.35
434.617,2.18
434.986,2.19
435.355,2.19
435.724,2.08
436.092,1.89
436.461,2.13
436.829,2.02
437.198,1.94
437.567,1.87
437.935,1.92
438.303,2.01
438.672,1.88
439.04,2.01
439.408,1.92
439.777,1.94
440.145,1.94
440.513,1.97
440.881,1.95
441.249,1.93
441.617,1.81
441.985,1.97
442.353,1.95
442.721,1.96
443.089,1.86
443.457,1.94
443.825,2.02
444.192,1.96
444.56,1.87
444.928,1.93
445.295,1.88
445.663,1.88
446.03,1.82
446.398,2.02
446.765,1.85
447.133,2.14
447.5,2.05
447.867,2.06
448.235,2.15
448.602,1.9
448.969,1.87
449.336,2.03
449.703,1.86
450.07,1.79
450.437,1.84
450.804,1.91
451.171,1.89
451.538,1.93
451.905,1.7
452.271,1.84
452.638,1.94
453.005,2.07
453.372,1.96
453.738,1.94
454.105,1.84
454.471,1.87
454.838,1.83
455.204,1.85
455.57,1.97
455.937,1.96
456.303,1.96
456.669,1.98
457.036,2.01
457.402,1.86
457.768,1.89
458.134,1.91
458.5,2.06
458.866,1.94
459.232,1.82
459.598,1.89
459.964,1.94
460.329,1.97
460.695,2.38
461.061,2.32
461.427,1.95
461.792,2
462.158,1.87
462.523,2.18
462.889,2.05
463.254,1.92
463.62,2.02
463.985,1.87
464.35,1.95
464.716,1.99
465.081,1.84
465.446,2.13
465.811,1.89
466.176,1.86
466.541,2.04
466.906,1.9
467.271,1.82
467.636,1.89
468.001,2.2
468.366,2.19
468.731,1.99
469.096,2.1
469.46,1.82
469.825,1.95
470.19,1.95
470.554,2.07
470.919,2
471.283,1.9
471.648,2.41
472.012,1.95
472.376,2.11
472.741,1.96
473.105,2.21
473.469,2.05
473.833,2
474.197,2.02
474.561,1.98
474.925,2.08
475.289,2.05
475.653,2.05
476.017,1.93
476.381,2.17
476.745,2.13
477.109,2.12
477.472,2.02
477.836,2.03
478.2,1.87
478.563,1.95
478.927,2.09
479.29,2.22
479.654,2.14
480.017,2.03
480.381,2.08
480.744,1.95
481.107,2.04
481.471,2.06
481.834,2.15
482.197,1.98
482.56,2.25
482.923,2.15
483.286,2.2
483.649,2.03
484.012,2.34
484.375,2.42
484.738,2.09
485.1,2.1
485.463,2.17
485.826,2.2
486.188,2.18
486.551,2.39
486.914,2.33
487.276,2.5
487.639,2.47
488.001,2.1
488.363,2.07
488.726,2.39
489.088,2.31
489.45,2.2
489.812,2.3
490.175,2.07
490.537,2.22
490.899,2.19
491.261,2.32
491.623,2.25
491.985,2.3
492.347,2.33
492.708,2.28
493.07,2.34
493.432,2.15
493.794,2.35
494.155,2.46
494.517,2.38
494.879,2.39
495.24,2.38
495.602,2.3
495.963,2.93
496.324,2.21
496.686,2.19
497.047,2.25
497.408,2.34
497.769,2.31
498.131,2.18
498.492,2.3
498.853,2.32
499.214,2.27
499.575,2.49
499.936,2.28
500.297,2.42
500.658,2.25
501.018,2.25
501.379,2.16
501.74,2.33
502.1,2.27
502.461,2.56
502.822,2.32
503.182,2.32
503.543,2.33
503.903,2.35
504.263,2.36
504.624,2.3
504.984,2.22
505.344,2.48
505.705,2.43
506.065,2.52
506.425,2.29
506.785,2.28
507.145,2.44
507.505,2.51
507.865,2.57
508.225,2.33
508.585,2.48
508.944,2.53
509.304,2.42
509.664,2.35
510.023,2.4
510.383,2.45
510.743,2.44
511.102,2.55
511.462,2.62
511.821,2.42
512.18,2.46
512.54,2.46
512.899,2.44
513.258,2.47
513.618,2.7
513.977,2.49
514.336,2.33
514.695,2.59
515.054,2.54
515.413,2.49
515.772,2.38
516.131,2.41
516.49,2.58
516.848,2.57
517.207,2.61
517.566,2.63
517.924,2.47
518.283,2.64
518.642,2.68
519,2.46
519.359,2.59
519.717,2.48
520.075,2.49
520.434,2.54
520.792,2.55
521.15,2.76
521.508,2.52
521.867,2.56
522.225,2.74
522.583,2.49
522.941,2.48
523.299,2.61
523.657,2.66
524.014,2.52
524.372,2.56
524.73,2.48
525.088,2.66
525.445,2.68
525.803,2.54
526.161,2.74
526.518,2.59
526.876,2.7
527.233,2.5
527.591,2.47
527.948,2.65
528.305,2.6
528.662,2.63
529.02,2.65
529.377,2.6
529.734,2.6
530.091,2.63
530.448,2.54
530.805,2.58
531.162,2.57
531.519,2.66
531.876,2.71
532.233,2.56
532.589,2.57
532.946,2.54
533.303,2.64
533.659,2.58
534.016,2.47
534.372,2.69
534.729,2.51
535.085,2.73
535.442,2.52
535.798,2.48
536.154,2.39
536.511,2.54
536.867,2.58
537.223,2.5
537.579,2.53
537.935,2.6
538.291,2.99
538.647,2.54
539.003,2.59
539.359,2.61
539.715,2.37
540.07,2.59
540.426,2.63
540.782,2.52
541.137,2.51
541.493,2.57
541.849,2.43
542.204,2.49
542.56,2.47
542.915,2.56
543.27,3.03
543.626,2.4
543.981,2.53
544.336,2.46
544.691,2.44
545.046,2.62
545.401,2.43
545.756,2.5
546.111,2.73
546.466,2.59
546.821,2.47
547.176,2.84
547.531,2.54
547.886,2.55
548.24,2.41
548.595,2.46
548.95,2.41
549.304,2.48
549.659,2.62
550.013,2.51
550.367,2.41
550.722,2.47
551.076,2.54
551.43,2.49
551.785,2.44
552.139,2.46
552.493,2.57
552.847,2.37
553.201,2.33
553.555,2.5
553.909,2.4
554.263,2.4
554.617,2.36
554.971,2.34
555.324,2.42
555.678,2.46
556.032,2.39
556.385,2.39
556.739,2.43
557.092,2.51
557.446,2.44
557.799,2.48
558.153,2.49
558.506,2.38
558.859,2.38
559.212,2.39
559.566,2.4
559.919,2.3
560.272,2.35
560.625,2.42
560.978,2.35
561.331,2.35
561.684,2.34
562.037,2.24
562.389,2.33
562.742,2.43
563.095,2.31
563.448,2.34
563.8,2.33
564.153,2.39
564.505,2.35
564.858,2.45
565.21,2.36
565.562,2.31
565.915,2.29
566.267,2.3
566.619,2.41
566.972,2.35
567.324,2.3
567.676,2.36
568.028,2.3
568.38,2.25
568.732,2.24
569.084,2.3
569.435,2.3
569.787,2.31
570.139,2.28
570.491,2.29
570.842,2.3
571.194,2.28
571.546,2.31
571.897,2.24
572.249,2.24
572.6,2.29
572.951,2.28
573.303,2.29
573.654,2.22
574.005,2.28
574.356,2.2
574.707,2.24
575.059,2.25
575.41,2.17
