Wavelength_(nm),QDs_Transmission(%)
340.712,-328.36
341.091,-328.36
341.47,-328.36
341.849,64.52
342.229,62.22
342.608,452.66
342.987,-48.54
343.366,180.99
343.745,476.71
344.124,-3.5
344.503,-543.59
344.881,54.97
345.26,71.46
345.639,28.08
346.018,-123.77
346.396,80.59
346.775,98.11
347.154,64.25
347.532,41.46
347.911,113.1
348.289,57.8
348.668,71.83
349.046,115.93
349.425,33.86
349.803,60.28
350.181,59.27
350.56,67.09
350.938,72.7
351.316,54.66
351.694,73.47
352.072,63.76
352.45,51.31
352.828,67.43
353.206,66.48
353.584,61.43
353.962,66.99
354.34,46.1
354.718,41.24
355.095,52.75
355.473,42.74
355.851,51.13
356.229,53.23
356.606,56.49
356.984,45.47
357.361,47.87
357.739,44.19
358.116,46.73
358.494,57.35
358.871,60.67
359.248,45.59
359.626,47.89
360.003,53.16
360.38,43.54
360.757,55.99
361.134,55.79
361.511,55.87
361.888,52.56
362.265,49.77
362.642,51.18
363.019,60.18
363.396,52.29
363.773,48.6
364.15,47.11
364.527,45.32
364.903,50.09
365.28,44.72
365.657,42.75
366.033,52.68
366.41,46.82
366.786,52.27
367.163,58.2
367.539,52.27
367.915,42.76
368.292,43.23
368.668,46.77
369.044,48.24
369.421,57.1
369.797,51.51
370.173,40.57
370.549,52.36
370.925,56.46
371.301,56.05
371.677,61.62
372.053,55.08
372.429,70.2
372.805,52.63
373.181,53.69
373.556,59.91
373.932,63.47
374.308,58.34
374.683,50.2
375.059,39.84
375.435,60.6
375.81,43.96
376.186,42.89
376.561,36.67
376.936,44
377.312,39.42
377.687,29.16
378.062,35.13
378.438,33.87
378.813,26.25
379.188,28.69
379.563,27.42
379.938,26.04
380.313,27.25
380.688,19.59
381.063,23.37
381.438,20.19
381.813,20.25
382.188,18.14
382.563,16.56
382.937,14.96
383.312,17.69
383.687,15.96
384.061,15.84
384.436,16.54
384.81,13.19
385.185,13.44
385.559,13.54
385.934,12.66
386.308,12.12
386.682,13.47
387.057,11.64
387.431,12.16
387.805,12.08
388.179,11.74
388.553,11.89
388.927,11.88
389.301,11.19
389.675,11.14
390.049,10.91
390.423,10.81
390.797,11.02
391.171,10.66
391.545,11.05
391.919,10.79
392.292,10.64
392.666,10.46
393.04,10.7
393.413,10.61
393.787,10.53
394.16,10.63
394.534,10.82
394.907,10.57
395.28,10.66
395.654,10.73
396.027,10.66
396.4,10.76
396.773,10.57
397.147,10.62
397.52,10.6
397.893,10.46
398.266,10.66
398.639,10.57
399.012,10.79
399.385,10.79
399.757,10.68
400.13,10.93
400.503,10.95
400.876,11.03
401.248,10.85
401.621,11.13
401.994,11.05
402.366,11.07
402.739,11.17
403.111,11.34
403.484,11.16
403.856,11.27
404.229,11.09
404.601,11.29
404.973,11.52
405.345,11.39
405.718,11.51
406.09,11.56
406.462,11.65
406.834,11.92
407.206,11.87
407.578,11.88
407.95,12.03
408.322,12.07
408.693,12.36
409.065,12.31
409.437,12.56
409.809,12.58
410.18,12.67
410.552,12.8
410.924,13.03
411.295,13.01
411.667,13.08
412.038,13.35
412.41,13.48
412.781,13.55
413.152,13.76
413.524,13.78
413.895,13.96
414.266,14.21
414.637,14.19
415.008,14.26
415.38,14.27
415.751,14.56
416.122,14.78
416.493,14.96
416.863,14.89
417.234,15.12
417.605,15.33
417.976,15.36
418.347,15.43
418.717,15.46
419.088,15.73
419.459,15.63
419.829,15.93
420.2,15.82
420.57,16.1
420.941,16.06
421.311,16.43
421.682,16.49
422.052,16.29
422.422,16.58
422.792,16.6
423.163,16.72
423.533,16.86
423.903,17.09
424.273,16.98
424.643,17.27
425.013,17.09
425.383,17.26
425.753,17.56
426.123,17.28
426.492,17.55
426.862,17.56
427.232,17.73
427.602,17.86
427.971,18.13
428.341,18.14
428.71,18.06
429.08,18.12
429.449,18.41
429.819,18.38
430.188,18.41
430.557,18.92
430.927,18.8
431.296,18.97
431.665,19.3
432.034,19.29
432.403,19.71
432.772,19.57
433.142,19.68
433.51,20.06
433.879,20.04
434.248,20.27
434.617,20.44
434.986,20.58
435.355,20.88
435.724,20.83
436.092,20.52
436.461,21.5
436.829,21.63
437.198,21.15
437.567,21.48
437.935,22.38
438.303,22.19
438.672,22.12
439.04,22.66
439.408,22.18
439.777,22.54
440.145,22.55
440.513,22.69
440.881,22.22
441.249,23.45
441.617,22.83
441.985,23.55
442.353,22.77
442.721,23.6
443.089,23.52
443.457,23.3
443.825,23.62
444.192,23.99
444.56,24.1
444.928,24.17
445.295,24.07
445.663,24.05
446.03,24.74
446.398,24.26
446.765,23.93
447.133,24.27
447.5,24.4
447.867,24.53
448.235,24.98
448.602,24.92
448.969,24.53
449.336,25.39
449.703,25.09
450.07,24.81
450.437,25.06
450.804,25.46
451.171,24.83
451.538,26.1
451.905,25.43
452.271,25.75
452.638,25.98
453.005,25.59
453.372,25.75
453.738,25.82
454.105,25.53
454.471,25.83
454.838,25.97
455.204,25.36
455.57,25.18
455.937,26.17
456.303,26.73
456.669,26.54
457.036,25.98
457.402,26.6
457.768,26.36
458.134,26.67
458.5,26.25
458.866,26.41
459.232,27.13
459.598,26.84
459.964,26.3
460.329,27.21
460.695,26.81
461.061,27
461.427,27.26
461.792,27.14
462.158,27.73
462.523,27.56
462.889,27.36
463.254,27.45
463.62,27.39
463.985,27.92
464.35,27.98
464.716,27.88
465.081,28.27
465.446,28.25
465.811,28.11
466.176,27.38
466.541,28.49
466.906,28.18
467.271,28.4
467.636,28.59
468.001,28.53
468.366,28.76
468.731,28.48
469.096,28.37
469.46,28.92
469.825,29.16
470.19,28.42
470.554,28.14
470.919,28.76
471.283,28.6
471.648,28.89
472.012,28.18
472.376,28.88
472.741,29.01
473.105,28.58
473.469,28.83
473.833,28.94
474.197,28.19
474.561,28.68
474.925,28.96
475.289,28.25
475.653,29.09
476.017,28.97
476.381,28.68
476.745,28.6
477.109,28.8
477.472,29.12
477.836,28.53
478.2,28.73
478.563,29.03
478.927,29.06
479.29,28.97
479.654,28.91
480.017,29.34
480.381,29.77
480.744,29.51
481.107,29.67
481.471,29.83
481.834,30.07
482.197,30.28
482.56,30.41
482.923,30.67
483.286,30.2
483.649,30.69
484.012,31.19
484.375,31.24
484.738,31.19
485.1,31.15
485.463,31.49
485.826,31.04
486.188,31.92
486.551,32.19
486.914,32.8
487.276,32.51
487.639,32.67
488.001,33.33
488.363,32.83
488.726,32.75
489.088,33.17
489.45,33.34
489.812,33.31
490.175,33.21
490.537,33.81
490.899,33.91
491.261,33.62
491.623,33.97
491.985,33.19
492.347,33.84
492.708,33.63
493.07,33.24
493.432,33.64
493.794,33.12
494.155,33.49
494.517,33.3
494.879,33.02
495.24,33.37
