Wavelength(nm), TC_PL
340.712,-20.66
341.091,-20.66
341.47,-20.66
341.849,0.9
342.229,-0.08
342.608,-9.63
342.987,3.11
343.366,-18.95
343.745,-12.58
344.124,12.18
344.503,-23.85
344.881,25.66
345.26,18.06
345.639,-2.28
346.018,-10.12
346.396,34.48
346.775,-4.98
347.154,10.95
347.532,-10.61
347.911,-12.09
348.289,0.66
348.668,-5.47
349.046,2.86
349.425,-3.26
349.803,-19.68
350.181,-37.57
350.56,-33.9
350.938,-2.53
351.316,-11.84
351.694,-26.54
352.072,16.34
352.45,11.2
352.828,8.99
353.206,27.62
353.584,5.07
353.962,8.5
354.34,23.7
354.718,1.88
355.095,-6.94
355.473,0.66
355.851,-44.43
356.229,19.04
356.606,-3.26
356.984,-15.27
357.361,-0.57
357.739,5.56
358.116,-24.34
358.494,23.45
358.871,-5.47
359.248,-22.38
359.626,-7.92
360.003,-22.38
360.38,15.61
360.757,-12.58
361.134,-8.9
361.511,-6.69
361.888,-3.51
362.265,-24.83
362.642,34.48
363.019,-28.01
363.396,-14.29
363.773,-10.61
364.15,7.77
364.527,19.77
364.903,-5.71
365.28,-25.56
365.657,-10.61
366.033,-25.81
366.41,0.41
366.786,-17.48
367.163,-29
367.539,-12.09
367.915,14.87
368.292,-3.02
368.668,9.24
369.044,5.81
369.421,-1.55
369.797,-14.29
370.173,-7.92
370.549,-193.19
370.925,17.81
371.301,-9.63
371.677,5.81
372.053,-13.07
372.429,-2.28
372.805,-21.64
373.181,37.91
373.556,19.77
373.932,-23.85
374.308,-13.07
374.683,-16.99
375.059,7.52
375.435,7.28
375.81,3.84
376.186,-20.91
376.561,30.07
376.936,12.18
377.312,-2.04
377.687,0.17
378.062,-1.3
378.438,6.05
378.813,4.58
379.188,-14.29
379.563,-3.51
379.938,18.3
380.313,29.58
380.688,-32.18
381.063,1.64
381.438,29.58
381.813,-17.97
382.188,-29.98
382.563,3.11
382.937,11.93
383.312,20.26
383.687,-7.43
384.061,-0.57
384.436,1.15
384.81,44.53
385.185,-1.3
385.559,13.16
385.934,15.85
386.308,-1.06
386.682,8.75
387.057,-2.28
387.431,8.75
387.805,28.84
388.179,28.11
388.553,9.24
388.927,-19.68
389.301,3.11
389.675,-18.95
390.049,-27.28
390.423,-28.01
390.797,-12.58
391.171,18.3
391.545,-21.64
391.919,2.37
392.292,23.45
392.666,4.58
393.04,-16.99
393.413,-45.66
393.787,18.06
394.16,30.8
394.534,-9.88
394.907,8.99
395.28,0.66
395.654,12.91
396.027,12.91
396.4,-24.34
396.773,21.73
397.147,40.36
397.52,-21.89
397.893,-27.52
398.266,9.73
398.639,-4.49
399.012,21.24
399.385,30.56
399.757,1.15
400.13,29.82
400.503,23.45
400.876,-17.23
401.248,6.79
401.621,-1.3
401.994,-11.35
402.366,-28.01
402.739,-10.61
403.111,-6.45
403.484,4.82
403.856,-8.9
404.229,8.5
404.601,2.13
404.973,18.79
405.345,-18.46
405.718,-40.02
406.09,6.3
406.462,29.33
406.834,-3.02
407.206,-5.96
407.578,1.88
407.95,-4.49
408.322,-7.43
408.693,14.14
409.065,-2.53
409.437,24.68
409.809,-14.29
410.18,25.66
410.552,22.23
410.924,3.11
411.295,5.07
411.667,-11.1
412.038,8.26
412.41,-18.7
412.781,4.82
413.152,-10.86
413.524,-35.61
413.895,-12.58
414.266,-12.33
414.637,-20.66
415.008,-29.49
415.38,18.3
415.751,11.93
416.122,33.99
416.493,-16.99
416.863,-13.07
417.234,-33.65
417.605,-21.15
417.976,-3.26
418.347,-45.17
418.717,-10.12
419.088,-24.58
419.459,-19.93
419.829,-23.36
420.2,-9.88
420.57,-25.56
420.941,12.18
421.311,6.54
421.682,-20.17
422.052,-16.74
422.422,-1.3
422.792,-6.45
423.163,7.77
423.533,4.33
423.903,29.33
424.273,-11.84
424.643,-4.73
425.013,8.5
425.383,18.3
425.753,-1.55
426.123,-16.99
426.492,17.08
426.862,14.63
427.232,3.35
427.602,-49.58
427.971,-45.42
428.341,-9.63
428.71,-13.31
429.08,12.67
429.449,10.71
429.819,-14.05
430.188,-3.26
430.557,-8.16
430.927,-9.14
431.296,14.87
431.665,-31.45
432.034,-2.28
432.403,-13.07
432.772,-5.96
433.142,0.9
433.51,8.26
433.879,-21.64
434.248,-4.73
434.617,13.16
434.986,11.93
435.355,-23.6
435.724,-23.36
436.092,2.37
436.461,3.84
436.829,-18.46
437.198,-46.15
437.567,-20.17
437.935,-25.07
438.303,-27.03
438.672,-14.78
439.04,5.56
439.408,-12.58
439.777,-39.29
440.145,-16.01
440.513,-43.45
440.881,-47.38
441.249,-22.62
441.617,-5.96
441.985,-33.16
442.353,-18.7
442.721,-11.1
443.089,-17.23
443.457,-20.66
443.825,8.26
444.192,2.86
444.56,-32.67
444.928,-31.2
445.295,-37.08
445.663,-38.06
446.03,-13.31
446.398,-41.49
446.765,-59.14
447.133,-42.23
447.5,19.53
447.867,-16.99
448.235,-12.58
448.602,-47.38
448.969,-64.29
449.336,-51.54
449.703,-19.68
450.07,-57.18
450.437,-53.75
450.804,-4
451.171,-13.31
451.538,-60.12
451.905,-37.82
452.271,-27.28
452.638,-74.09
453.005,-53.99
453.372,-16.74
453.738,-60.12
454.105,-56.93
454.471,-44.43
454.838,-9.63
455.204,-26.79
455.57,-19.68
455.937,-44.92
456.303,-57.42
456.669,-47.13
457.036,2.37
457.402,-37.82
457.768,-37.33
458.134,-18.21
458.5,-9.88
458.866,-23.36
459.232,24.43
459.598,1.15
459.964,-14.05
460.329,-4.98
460.695,-33.9
461.061,-22.38
461.427,-41.74
461.792,-28.01
462.158,-42.96
462.523,-42.72
462.889,-32.67
463.254,-23.11
463.62,-63.31
463.985,-51.79
464.35,-24.58
464.716,-10.12
465.081,-9.88
465.446,-15.52
465.811,-41
466.176,-38.55
466.541,-65.51
466.906,-1.55
467.271,-20.42
467.636,-1.06
468.001,-37.08
468.366,-9.14
468.731,-22.13
469.096,-20.42
469.46,-44.43
469.825,-24.83
470.19,-0.32
470.554,-68.45
470.919,-34.88
471.283,-26.54
471.648,-31.69
472.012,-8.16
472.376,-41
472.741,-29.49
473.105,-31.45
473.469,-53.99
473.833,-32.18
474.197,-10.86
474.561,-25.81
474.925,11.69
475.289,-4.24
475.653,19.04
476.017,-12.82
476.381,-9.14
476.745,3.6
477.109,-15.03
477.472,-31.69
477.836,-4.98
478.2,-7.18
478.563,-4.73
478.927,19.53
479.29,-10.37
479.654,-0.32
480.017,-26.54
480.381,-9.39
480.744,-26.05
481.107,-34.88
481.471,-18.7
481.834,-45.17
482.197,-4.24
482.56,-7.43
482.923,-25.56
483.286,-32.92
483.649,-45.66
484.012,-5.22
484.375,-16.5
484.738,14.63
485.1,-50.56
485.463,-37.57
485.826,-9.39
486.188,-49.34
486.551,10.46
486.914,-0.32
487.276,-18.21
487.639,-37.57
488.001,-45.42
488.363,0.66
488.726,-18.7
489.088,-21.89
489.45,-19.44
489.812,-32.18
490.175,-27.03
490.537,-56.69
490.899,-18.46
491.261,-46.64
491.623,-23.85
491.985,-2.53
492.347,-32.92
492.708,-50.81
493.07,-4
493.432,-14.05
493.794,-2.28
494.155,-14.29
494.517,-13.07
494.879,-16.74
495.24,-32.92
495.602,-20.42
495.963,-34.63
496.324,-19.19
496.686,-9.39
497.047,-13.56
497.408,-35.61
497.769,-21.64
498.131,0.41
498.492,3.6
498.853,-21.4
499.214,-16.01
499.575,-37.08
499.936,1.88
500.297,-14.54
500.658,-24.83
501.018,-4.73
501.379,-20.17
501.74,-8.65
502.1,-19.44
502.461,-48.36
502.822,-15.76
503.182,-67.47
503.543,-39.04
503.903,-46.64
504.263,-46.89
504.624,-46.15
504.984,-6.2
505.344,-55.46
505.705,-29.24
506.065,-22.62
