Wavelength_(nm),TC_Transmission(%)
340.712,-126
341.091,-126
341.47,-126
341.849,74.82
342.229,-37.8
342.608,-174.85
342.987,98.92
343.366,-1336.59
343.745,158.83
344.124,8.36
344.503,28.2
344.881,247.71
345.26,-366.49
345.639,84.16
346.018,95.48
346.396,16.96
346.775,-166.29
347.154,326.15
347.532,95.9
347.911,71.44
348.289,6.46
348.668,109.03
349.046,5.82
349.425,16.27
349.803,42.9
350.181,40.62
350.56,35.78
350.938,47
351.316,47.81
351.694,27.99
352.072,30.89
352.45,46.72
352.828,44.13
353.206,33.12
353.584,32.41
353.962,37.5
354.34,49.34
354.718,29.24
355.095,33.28
355.473,35.84
355.851,37.2
356.229,36.89
356.606,37.2
356.984,22.18
357.361,19.99
357.739,27.16
358.116,33.03
358.494,37.81
358.871,35.85
359.248,31.48
359.626,38.92
360.003,31.78
360.38,20.46
360.757,33.99
361.134,32.58
361.511,30.37
361.888,26.35
362.265,25.07
362.642,21.92
363.019,38.09
363.396,35.34
363.773,27.86
364.15,31.36
364.527,26.14
364.903,35.32
365.28,28.93
365.657,27.82
366.033,39.14
366.41,38.4
366.786,42.7
367.163,31.99
367.539,39.41
367.915,33.15
368.292,26.82
368.668,45.09
369.044,30.68
369.421,22.18
369.797,39.77
370.173,27.49
370.549,39.27
370.925,37.31
371.301,34.39
371.677,36.44
372.053,26.9
372.429,31.91
372.805,29.94
373.181,41.67
373.556,41.81
373.932,30.63
374.308,29.05
374.683,34.04
375.059,32.52
375.435,32.43
375.81,31.16
376.186,30.68
376.561,29.92
376.936,24.82
377.312,23.3
377.687,17.35
378.062,20
378.438,13.97
378.813,16.43
379.188,15.25
379.563,8.91
379.938,11.11
380.313,6.59
380.688,10.14
381.063,11.4
381.438,9.14
381.813,9.29
382.188,7.06
382.563,7.05
382.937,5.39
383.312,4.9
383.687,3.19
384.061,4.98
384.436,4.14
384.81,3.84
385.185,4.11
385.559,4.28
385.934,2.38
386.308,2.38
386.682,2.15
387.057,2.56
387.431,1.84
387.805,2.03
388.179,1.39
388.553,1.64
388.927,1.4
389.301,1.07
389.675,1.15
390.049,1.31
390.423,1.05
390.797,1.01
391.171,0.61
391.545,0.71
391.919,0.83
392.292,0.71
392.666,0.76
393.04,0.56
393.413,0.41
393.787,0.39
394.16,0.32
394.534,0.68
394.907,0.47
395.28,0.37
395.654,0.48
396.027,0.38
396.4,0.35
396.773,0.38
397.147,0.28
397.52,0.34
397.893,0.27
398.266,0.31
398.639,0.23
399.012,0.38
399.385,0.33
399.757,0.34
400.13,0.38
400.503,0.38
400.876,0.33
401.248,0.21
401.621,0.34
401.994,0.4
402.366,0.33
402.739,0.35
403.111,0.4
403.484,0.4
403.856,0.3
404.229,0.38
404.601,0.34
404.973,0.26
405.345,0.25
405.718,0.32
406.09,0.31
406.462,0.24
406.834,0.25
407.206,0.38
407.578,0.28
407.95,0.26
408.322,0.28
408.693,0.27
409.065,0.23
409.437,0.22
409.809,0.31
410.18,0.19
410.552,0.19
410.924,0.24
411.295,0.18
411.667,0.32
412.038,0.29
412.41,0.33
412.781,0.18
413.152,0.3
413.524,0.15
413.895,0.27
414.266,0.2
414.637,0.24
415.008,0.21
415.38,0.25
415.751,0.17
416.122,0.2
416.493,0.14
416.863,0.17
417.234,0.28
417.605,0.18
417.976,0.18
418.347,0.18
418.717,0.14
419.088,0.1
419.459,0.15
419.829,0.16
420.2,0.2
420.57,0.17
420.941,0.17
421.311,0.19
421.682,0.2
422.052,0.16
422.422,0.19
422.792,0.24
423.163,0.2
423.533,0.24
423.903,0.24
424.273,0.22
424.643,0.22
425.013,0.18
425.383,0.17
425.753,0.28
426.123,0.28
426.492,0.18
426.862,0.32
427.232,0.17
427.602,0.3
427.971,0.29
428.341,0.22
428.71,0.26
429.08,0.29
429.449,0.3
429.819,0.14
430.188,0.29
430.557,0.29
430.927,0.34
431.296,0.33
431.665,0.54
432.034,0.24
432.403,0.58
432.772,0.3
433.142,0.46
433.51,0.44
433.879,0.36
434.248,0.66
434.617,0.73
434.986,0.71
435.355,0.66
435.724,0.66
436.092,0.79
436.461,1.08
436.829,0.65
437.198,0.51
437.567,1.06
437.935,0.9
438.303,0.97
438.672,0.96
439.04,0.48
439.408,1.03
439.777,1.69
440.145,0.77
440.513,0.74
440.881,1.01
441.249,0.97
441.617,0.97
441.985,1.26
442.353,1.03
442.721,1.11
443.089,1.25
443.457,1.15
443.825,0.85
444.192,1.08
444.56,1.05
444.928,1.42
445.295,1.57
445.663,1.38
446.03,1.04
446.398,1.45
446.765,1.38
447.133,1.39
447.5,1.69
447.867,0.92
448.235,0.93
448.602,1.51
448.969,1
449.336,1.05
449.703,1.79
450.07,1.22
450.437,1.32
450.804,1.53
451.171,1.3
451.538,1.56
451.905,1.36
452.271,1.15
452.638,1.31
453.005,0.9
453.372,1.54
453.738,1.05
454.105,1.46
454.471,0.95
454.838,0.98
455.204,0.52
455.57,0.97
455.937,1.09
456.303,1.03
456.669,0.95
457.036,1.49
457.402,1.03
457.768,1.4
458.134,1.03
458.5,1.2
458.866,1.06
459.232,1.14
459.598,1.12
459.964,1.24
460.329,0.65
460.695,1.14
461.061,0.96
461.427,0.93
461.792,0.49
462.158,0.84
462.523,1.08
462.889,1.14
463.254,1.2
463.62,1.25
463.985,0.58
464.35,1.76
464.716,0.93
465.081,1.69
465.446,0.93
465.811,1.29
466.176,1.09
466.541,0.78
466.906,1.05
467.271,1.16
467.636,1.73
468.001,1.1
468.366,0.98
468.731,1.13
469.096,1.55
469.46,1.37
469.825,1.12
470.19,0.96
470.554,0.72
470.919,1.05
471.283,1.13
471.648,0.94
472.012,1.15
472.376,1.15
472.741,1.22
473.105,1.13
473.469,1.01
473.833,1.04
474.197,0.78
474.561,0.97
474.925,0.58
475.289,0.59
475.653,0.94
476.017,0.51
476.381,0.53
476.745,0.73
477.109,1.01
477.472,0.73
477.836,0.97
478.2,0.3
478.563,0.72
478.927,0.38
479.29,0.78
479.654,0.66
480.017,0.66
480.381,0.41
480.744,0.91
481.107,0.5
481.471,0.59
481.834,0.73
482.197,0.61
482.56,0.59
482.923,0.48
483.286,0.73
483.649,0.55
484.012,0.19
484.375,0.95
484.738,0.62
485.1,0.68
485.463,0.4
485.826,0.33
486.188,0.81
486.551,0.55
486.914,0.42
487.276,0.81
487.639,0.94
488.001,0.55
488.363,0.4
488.726,0.42
489.088,0.63
489.45,0.69
489.812,0.04
490.175,0.67
490.537,0.52
490.899,0.55
491.261,0.7
491.623,0.49
491.985,0.71
492.347,0.87
492.708,0.25
493.07,0.47
493.432,0.58
493.794,0.5
494.155,0.51
494.517,0.39
494.879,0.52
495.24,0.52
495.602,0.43
495.963,0.39
496.324,0.32
496.686,0.45
497.047,0.33
497.408,0.59
497.769,0.69
498.131,0.27
498.492,0.53
498.853,0.18
499.214,0.49
499.575,0.38
499.936,0.55
500.297,0.33
500.658,0.37
501.018,0.25
501.379,0.61
501.74,0.36
502.1,0.44
502.461,0.49
502.822,0.34
503.182,0.43
503.543,0.51
503.903,0.53
504.263,0.25
504.624,0.45
504.984,0.28
505.344,0.27
505.705,0.57
506.065,0.46
506.425,0.27
506.785,0.19
507.145,0.41
507.505,0.29
507.865,0.38
508.225,0.5
508.585,0.38
508.944,0.34
509.304,0.46
509.664,0.26
510.023,0.51
510.383,0.38
510.743,0.27
511.102,0.2
511.462,0.31
511.821,0.3
512.18,0.31
512.54,0.24
512.899,0.12
513.258,0.26
513.618,0.37
513.977,0.33
514.336,0.37
514.695,0.25
515.054,0.2
515.413,0.32
515.772,0.35
516.131,0.45
516.49,0.26
516.848,0.39
517.207,0.24
517.566,0.21
517.924,0.21
518.283,0.16
518.642,0.29
519,0.11
519.359,0.17
519.717,0.25
520.075,0.41
520.434,0.19
520.792,0.32
521.15,0.33
521.508,0.15
521.867,0.08
522.225,0.25
522.583,0.28
522.941,0.3
523.299,0.3
523.657,0.17
524.014,0.2
524.372,0.3
524.73,0.21
525.088,0.14
525.445,0.16
525.803,0.22
526.161,0.28
526.518,0.18
526.876,0.25
527.233,0.19
527.591,0.21
527.948,0.16
528.305,0.22
528.662,0.29
529.02,0.32
529.377,0.24
529.734,0.24
530.091,0.26
530.448,0.21
530.805,0.15
531.162,0.21
531.519,0.18
531.876,0.26
532.233,0.27
532.589,0.22
532.946,0.21
533.303,0.27
533.659,0.35
534.016,0.28
534.372,0.15
534.729,0.19
535.085,0.2
535.442,0.22
535.798,0.29
536.154,0.24
536.511,0.33
536.867,0.26
537.223,0.28
537.579,0.27
537.935,0.31
538.291,0.3
538.647,0.28
539.003,0.32
539.359,0.24
539.715,0.28
540.07,0.38
540.426,0.33
540.782,0.22
541.137,0.14
541.493,0.29
541.849,0.19
542.204,0.31
542.56,0.26
542.915,0.3
543.27,0.32
543.626,0.26
543.981,0.36
544.336,0.37
544.691,0.26
545.046,0.39
545.401,0.33
545.756,0.37
546.111,0.26
546.466,0.28
546.821,0.44
547.176,0.16
547.531,0.36
547.886,0.29
548.24,0.39
548.595,0.26
548.95,0.38
