Wavelength(nm),QDs_PL
340.712,8.61
341.091,8.61
341.47,8.61
341.849,-3.4
342.229,5.91
342.608,1.75
342.987,14
343.366,5.42
343.745,-46.78
344.124,14.98
344.503,5.42
344.881,-31.34
345.26,5.42
345.639,-20.31
346.018,-10.51
346.396,9.83
346.775,-3.65
347.154,13.26
347.532,13.26
347.911,29.68
348.289,-0.46
348.668,-29.13
349.046,5.67
349.425,2.24
349.803,-0.21
350.181,4.69
350.56,-12.47
350.938,25.76
351.316,19.88
351.694,34.83
352.072,9.34
352.45,7.87
352.828,33.36
353.206,-0.7
353.584,9.1
353.962,-9.53
354.34,1.75
354.718,15.23
355.095,35.81
355.473,-7.57
355.851,17.68
356.229,5.91
356.606,17.68
356.984,-0.7
357.361,-28.89
357.739,2.24
358.116,37.77
358.494,4.93
358.871,20.13
359.248,34.83
359.626,3.95
360.003,12.53
360.38,1.26
360.757,-5.61
361.134,21.6
361.511,9.59
361.888,13.02
362.265,1.26
362.642,-9.28
363.019,-22.76
363.396,-23.25
363.773,8.85
364.15,28.95
364.527,1.99
364.903,11.55
365.28,23.31
365.657,1.5
366.033,-4.63
366.41,26.25
366.786,8.85
367.163,-18.35
367.539,-0.46
367.915,12.77
368.292,3.22
368.668,18.9
369.044,41.45
369.421,17.43
369.797,6.4
370.173,7.38
370.549,-13.45
370.925,-13.45
371.301,11.79
371.677,15.23
372.053,-9.28
372.429,8.61
372.805,15.47
373.181,4.69
373.556,18.41
373.932,5.42
374.308,1.5
374.683,22.09
375.059,-19.58
375.435,27.97
375.81,-36.49
376.186,17.19
376.561,-17.12
376.936,11.55
377.312,-25.21
377.687,29.44
378.062,6.65
378.438,-23.25
378.813,-6.34
379.188,16.45
379.563,7.87
379.938,-11
380.313,-0.21
380.688,-7.08
381.063,62.52
381.438,23.31
381.813,0.52
382.188,22.33
382.563,-12.96
382.937,9.1
383.312,19.64
383.687,7.38
384.061,21.35
384.436,18.17
384.81,2.97
385.185,19.15
385.559,-12.47
385.934,13.26
386.308,21.6
386.682,11.79
387.057,25.03
387.431,-21.05
387.805,-11.49
388.179,14.98
388.553,-8.79
388.927,-11.98
389.301,-19.09
389.675,10.81
390.049,8.61
